"","score","text"
"186",0,"   | Wheres the next beach?! Ill never get use to this  #nike #brooklyn #nyc #newyork https://t.co/2CpDp3AHTW"
"187",0,"Amora Hotel Jamison Sydney
https://t.co/nOyOmsdQm7
#booking #hotels #hotel #keywest #florida #miami #miamibeach https://t.co/yjce7gGa4G"
"188",2,"10 Swank Food Places That Create Joy In Farmingdale, New York https://t.co/wNAXo3ysvT @I_LOVE_NY #ILOVENY #newyork"
"189",0,"From where Id rather be!   #NewYork https://t.co/WTpTxQcZCa"
"190",-1,"The 5 Most Disturbing #NewYork Times Revelations About Trumps #TV Habits https://t.co/YthVVHwBu9 https://t.co/pQOZ9ENBal"
"191",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/h2lzZ3KNL0"
"192",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/scGZinIAw9"
"193",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/PcjP4UE3iz"
"194",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/HpAPRfCyet"
"195",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/515sFchsdd"
"196",0,"SRC clinicians are highly experienced in treating the underlying issues that lead to #dependency on #drugs #alcohol https://t.co/rIes9LRwnw"
"197",1,"Want to work in #NewYork, NY? View our latest opening: https://t.co/iIB1f4hldd #TopTechJobs #BusinessMgmt #Job #Jobs #Hiring"
